output_file,source_phoneme,source_noise,snr_db,time_stretch,noise_start_time
ऋ_aug_461.wav,ऋ_female-7_018.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,11.75,0.96,34.94
ऋ_aug_462.wav,ऋ_female-7_017.wav,65855__bosone__indian-children-street-voices.wav,10.64,1.08,25.64
ऋ_aug_463.wav,ऋ_male-3_003.wav,465693__nielsvdb__old-delhi-street-ambience-02.wav,17.87,1.00,11.99
ऋ_aug_464.wav,ऋ_female-7_018.wav,465693__nielsvdb__old-delhi-street-ambience-02(1).wav,14.93,1.08,3.23
ऋ_aug_465.wav,ऋ_female-7_015.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,17.30,1.09,10.69
ऋ_aug_466.wav,ऋ_male-1_049.wav,261867__bohitomi__hindu-ritual-puja-in-the-temple-with-bells.wav,3.83,1.01,352.84
ऋ_aug_467.wav,ऋ_male-8_025.wav,181026__calcuttan__college-street.wav,6.22,1.05,41.81
ऋ_aug_468.wav,ऋ_female-5_046.wav,451381__kyles__fish-market-ext-busy-active8-ice-coolers-voices-children-and-distant-throaty-boats-india.flac,13.15,1.05,6.23
ऋ_aug_469.wav,ऋ_female-6_041.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,6.27,1.00,31.75
ऋ_aug_470.wav,ऋ_female-7_018.wav,65185__carbilicon__india-man-2.wav,12.80,1.06,20.95
ऋ_aug_471.wav,ऋ_male-1_047.wav,125981__xserra__temple-iit-mumbai.wav,2.94,1.02,171.01
ऋ_aug_472.wav,ऋ_female-4_028.wav,725412__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker.wav,19.64,1.06,150.28
ऋ_aug_473.wav,ऋ_female-3_032.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,5.80,0.93,172.81
ऋ_aug_474.wav,ऋ_female-6_039.wav,725411__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker-near.wav,8.47,0.98,61.18
ऋ_aug_475.wav,ऋ_female-7_008.wav,462494__rucisko__busy-city-05.wav,10.66,1.00,7.14
ऋ_aug_476.wav,ऋ_female-7_010.wav,423509__martinsadoux__india-small-street-neighbourhood-voices.wav,10.99,1.00,331.85
ऋ_aug_477.wav,ऋ_female-3_032.wav,465693__nielsvdb__old-delhi-street-ambience-02.wav,14.94,1.00,37.11
ऋ_aug_478.wav,ऋ_female-4_029.wav,465693__nielsvdb__old-delhi-street-ambience-02.wav,7.40,1.07,45.60
